# Seismic determinations of Moho depth from Assumpcao et al. (2013) as provided
# by Leonardo Uieda.
# This file was modified by Peter Haas (Kiel University):
# + Some receiver function points in Brazil were added (Luz and do Nascimento 2015)
# + Some Andean points based on gravity were removed 
# 
# References
# ----------
# 1. Assumpção, Marcelo; Feng, Mei; Tassara, Andrés; Julià, Jordi (2013): 
# Models of crustal thickness for South America from seismic refraction, 
# receiver functions and surface wave tomography. In: Tectonophysics 609, 
# p. 82–96. DOI: 10.1016/j.tecto.2012.11.014.
# 2. Uieda: https://github.com/pinga-lab/paper-moho-inversion-tesseroids/tree/master/data
# 3. Luz, R.M.N.; Julià, J.; do Nascimento, A. F. (2015): Bulk crustal properties of the 
# Borborema Province, NE Brazil, from P-wave receiver functions. Implications for models of 
# intraplate Cenozoic uplift. In: Tectonophysics 644-645, S. 81–91. 
# DOI: 10.1016/j.tecto.2014.12.017.
# 
# Description
# -----------
# Columns: Longitude, latitude, Moho depth [m]: negative down

-82.32,-8.73,-17300
-82.62,-7.85,-15200
-82.62,-7.85,-15900
-81.68,-7.55,-16300
-79.3,-8.63,-30000
-80.05,-7.33,-30600
-86.3,-12,-15200
-81.7,-12,-16100
-80.45,-12,-19700
-79.95,-12,-17300
-79,-12,-16600
-80.8,-9.4,-17700
-49.18,-34.5,-18650
-48.28,-34,-18650
-47.88,-33.98,-18333
-46.6,-33.87,-18333
-45.43,-33.95,-15193
-44.07,-33.38,-15193
-42.42,-33.28,-15290
-41.82,-33.2,-15290
-40.77,-33.08,-14427
-39.77,-32.9,-14427
-40.08,-31.4,-13753
-39.72,-31.1,-14060
-40.08,-31.4,-13860
-39.45,-30.87,-14460
-41.52,-28.6,-13006
-41.07,-28.92,-14706
-43.45,-27.17,-17670
-43.07,-27.53,-17470
-76.2,1.7,-64300
-75.7,2.6,-65000
-75.2,3.4,-65600
-78.4,-0.4,-62900
-81.16,3.97,-32500
-80.76,3.92,-31100
-80.4,3.87,-29300
-80.07,3.85,-29200
-79.68,3.8,-20800
-79.23,3.78,-17300
-78.86,3.76,-16800
-78.48,3.77,-13900
-78.09,3.74,-23800
-77.69,3.77,-19500
-77.4,3.7,-23100
-77.34,3.68,-24080
-76.65,3.8,-31100
-76.4,3.74,-34000
-81.16,3.97,-19200
-80.76,3.92,-19800
-80.4,3.87,-20100
-80.07,3.85,-19200
-79.68,3.8,-18900
-79.23,3.78,-18300
-78.86,3.76,-19800
-78.48,3.77,-22900
-78.09,3.74,-26800
-81.06,3.56,-18200
-80.76,3.34,-19800
-80.44,3.06,-19500
-80.07,2.78,-17100
-79.7,2.5,-20400
-79.36,2.27,-22500
-79.08,2.08,-28500
-76.3,4.1,-28386
-64.61,9.7,-34500
-64.35,9.33,-34400
-64.19,8.94,-36600
-63.87,8.19,-37900
-63.6,7.8,-37530
-63.4,7.2,-42850
-50.256,-13.307,-41660
-49.713,-13.265,-43120
-49.29,-13.33,-35920
-48.874,-13.391,-36950
-48.578,-13.547,-37240
-48.35,-13.5,-38070
-48.09,-13.53,-44130
-47.795,-13.633,-43450
-47.375,-13.8,-40850
-46.877,-13.807,-39650
-46.335,-13.959,-41350
-45.975,-14.266,-41450
-45.657,-14.649,-41720
-39.95,-9.33,-42804
-40.03,-8.82,-42866
-40.12,-8.27,-42800
-40.33,-9.72,-44574
-40.78,-9.6,-44532
-41.35,-9.4,-44580
-47.64,4.32,-18400
-47.4,4.31,-18250
-47.17,4.32,-18300
-46.95,4.34,-17900
-46.71,4.37,-17800
-46.5,4.4,-17450
-46.28,4.41,-17100
-46.04,4.42,-16400
-47.44,4.62,-17600
-46.75,5.25,-17850
-46.37,5.6,-17900
-46,5.93,-18650
-39,-20.5,-18196
-40,-21,-22910
-39,-21,-15499
-38,-21,-16961
-41,-22,-28010
-40,-22,-24406
-39,-22,-15696
-38,-22,-17675
-42,-23,-29048
-41,-23,-26112
-40,-23,-21685
-39,-23,-19062
-38,-23,-17685
-43,-24,-23401
-42,-24,-19193
-41,-24,-26209
-40,-24,-21033
-39,-24,-15583
-38,-24,-19731
-47,-25,-32048
-46,-25,-31121
-45,-25,-25010
-44,-25,-24379
-43,-25,-25193
-42,-25,-21213
-41,-25,-18776
-40,-25,-13165
-39,-25,-17602
-38,-25,-17973
-47,-26,-34101
-46,-26,-34253
-45,-26,-24612
-44,-26,-26143
-43,-26,-24314
